,sample001,sample002,sample003,sample004,sample005,sample006,sample007,sample008,sample009,sample010,sample011,sample012,sample013,sample014,sample015,sample016,sample017,sample018,sample019,sample020,sample021,sample022,sample023,sample024,sample026,sample027,sample028,sample029,sample030,sample031,sample032,sample033,sample034,sample035,sample036,sample037,sample038,sample039,sample040,sample041,sample042,sample043,sample044,sample045,sample046,sample047,sample048,sample049,sample050,sample051,sample052,sample053,sample054,sample055,sample056,sample057,sample058,sample059,sample060,sample061,sample062,sample063,sample064,sample065,sample066,sample067,sample069,sample070,sample071,sample072,sample073,sample074,sample075,sample076,sample077,sample078,sample079,sample080,sample081,sample082,sample083,sample084,sample085,sample086,sample087,sample088,sample089,sample090,sample091,sample092,sample093,sample094,sample095,sample096,sample097,sample098,sample099,sample100,sample101,sample102,sample103,sample104,sample105,sample106,sample107,sample108,sample109,sample110,sample111,sample112,sample113,sample114,sample115,sample116,sample117,sample118,sample119,sample120,sample121,sample122,sample123,sample124,sample125,sample126,sample127,sample128,sample129,sample130,sample131,sample132
ABCB1,26.83,41.28,27,20,21.44,20,20,34.91,27.37,20,20,38.29,20,20,43.83,33.58,20,20,20,20,20,20,20,29.59,20,20,29.07,20,34.85,20,20,20,20,20,20,54.96,20,27.02,28.73,20,20,20.17,20,28.36,20,20,20,32.7,23.2,20,20,21.08,20,20,24.47,30.57,27.6,20,20,20,22,20,23.92,39.1,20,20,20,20,20,20,20,30.67,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,35.78,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
ABL1,44.32,42.66,27,42.56,20.42,27.71,20,41.12,23.6,24.51,40.26,20,20,20,56.56,43.66,27.97,26.4,20,20,20,20,20,49.31,37.53,37.76,31.49,31.24,32.17,20,28.94,20,27.17,20,20,44.39,31.59,33.78,34.72,20,20,22.69,20,30.54,20,27.6,20,23.62,25.31,20,20,34.78,20,20,28.55,29.39,33.88,20,29.23,20,30.47,20,20,46.55,20,20,20,20,24.58,20,20,20,20,22.39,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,28.95,20,20,20,20,20,20,21.56,20,20,20,20,20,20,51.36,30.3,20,20,20,20,20,20,20,20,20,20,20,20,29.79,26.26,20,20,20,20,20,20
ADA,43.16,50.91,73.29,46.26,46.97,33.48,39.48,45,74.57,82.28,73.52,47.86,41.98,52.64,48.07,48.7,49.27,68.41,75.22,54.24,62.61,71.28,79.72,41.91,65.37,66.07,38.76,40.35,48.26,71.63,63.13,56.89,46.85,48.46,109.32,39.11,55.8,59.84,73.03,45.71,50.91,51.25,47.24,80.72,20,56.4,88.07,48.15,83.32,95.48,67.62,59.02,101.83,103.88,64.24,65.84,101.64,88.82,48.34,58.3,66.01,20,78.86,63.3,60.71,38.64,82.49,83.4,20,20,20,20,26.46,20,20,20,20,20,25.1,37.65,20,20,20,20,20,20,28.89,20,30.35,20,20,20,20,45.77,20,20,20,20,33.13,38.8,20,20,20,25.75,27.44,44.56,20,20,20,30.3,33.99,37.82,20,20,20.8,20,20,34.65,20,20,20,20,36.89,34.62,20,20,20,20,25.62,27.04
AGER,27.99,30.27,20,20,20,20,20,20,20,20,20,20,20,20,33.93,20,20,26.4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,23.25,25.27,20,20,20,20,20,20,20,20,20,20,20.89,20,20,20,20,20,20,22.43,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21.17,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20.7,20,22.87,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
AHR,71.15,49.54,55.29,42.56,28.59,20,22.86,51.98,50.97,56.89,54.27,20,20,27.53,69.28,73.88,38.62,40.81,20,20,50.22,61.65,64.33,59.17,29.05,20,20,20,77.75,70.1,53.93,43.16,28.11,20,20.42,58.13,75.8,69.49,32.32,28.99,20,50.41,41.79,25.09,20,20,20,48.15,46.41,20,35.5,20,20,24.53,49.96,36.45,20,20,28.1,20,35.54,42.37,20,20,20,20,36.13,32.65,31.95,22.78,23.06,20,20,39.4,45.19,20,34.5,20,20,20,29.72,48.09,34.68,35.14,30.47,28.5,20,20,26.21,48.66,34.79,30.06,20,32.04,60.81,20,20,25.36,45.37,30.18,26.6,33.24,30.6,20,27.44,33.14,27.17,27.75,20,20,36.6,36.73,33.19,30.81,20.8,20,20,46.64,20,20,30.76,20,29.79,63.27,29.42,33.87,20,20,41.15,43.85
AICDA,30.33,35.78,30.86,37.01,20,20,20,31.81,25.48,21.88,35.01,20,20,20,43.83,45.34,31.96,20,20,20,20,24.08,20.13,32.05,29.05,41.53,25.44,20,30.83,20,26.31,47.08,20.61,20,20,33.82,37.9,20,20,20,20,24.37,58.14,26.18,20,20,20,21.8,20,20,20,20,20,24.92,22.43,32.92,30.11,27.84,20,20,20,20,20,40.96,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,33.13,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,43.98,20,20,20,20,20,76.4,20,20,20,20,20,20
AIRE,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21.14,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
AKT3,205.29,242.17,241.74,157.29,151.13,163.93,190.75,240.52,209.54,169.8,197.81,214.43,187.31,186.14,240.37,273.7,255.68,150.03,128.95,84.58,162.36,159.42,245.87,207.11,157.37,143.47,180.48,268.11,237.28,195.07,157.83,127.51,103.07,209.43,196.62,176.52,223.2,146.7,164.02,83.62,60.85,207.53,127.18,137.44,110.58,142.79,145.82,235.28,196.17,125.46,157.21,130.69,122.57,237.28,173.34,142.27,115.44,136.55,177.61,218.32,204.8,149.13,154.18,176.87,140.19,242.48,193.28,236.07,948.72,1557.81,1405.69,989.22,686.81,753.98,1342.73,895.68,1295.62,1167.95,1604.57,702.18,994.55,1117.96,559.16,1068.33,1075.65,1300.32,915.69,875.37,513.18,929.46,1015.03,987.69,842.47,306.69,1468.01,1344.05,1472.74,1330.06,446.52,351.34,1069,1148.16,1183.53,1199.02,545.79,177.11,1089.01,1096.98,609.61,844.14,465.35,419.35,1151.12,1083.38,1366.81,962.13,1146.8,255.86,1003.64,1179.45,1101.09,950.45,778.86,422.57,1500.66,1231.35,1605.99,1166.89,691.77,387.3
ALOX12,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
ALOX15,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21.44,20,22.15,20,20,20,20,20,20,21.03,24.06,20,20,20,20,20,43.58,22.16,29.12,20,34.77,29.53,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20.73,20,20,20,38.7,30.55,22.5,20,22.87,20,27.17,32.95,20,20,20,20,20,30.81,36.86,20,20,20,20,20,20,20,20,20,41.19,35.7,20,20,20,20
ALOX5,66.49,33.02,36,20,25.53,70.42,55.27,29.48,29.26,41.14,49.02,20,100.11,111.14,28.28,20,26.63,30.01,35.82,27.58,42.65,39.97,29.2,39.45,49.63,20,47.24,67.68,32.17,35.05,39.46,20,59.97,84.81,60.07,31.71,34.74,45.36,20,182.85,207.37,20,76.31,41.45,20,44.4,92.4,26.34,36.91,23.32,20,20,52.8,37.95,42.83,30.57,20,29.17,42.72,37.21,20,20,24.81,20,20,20,20,20,27.04,20,26.07,20,46.56,111.04,34.49,20,20.88,32.71,20,31.04,24.66,20,23.84,20,20,20,31.77,31.02,48.28,32.44,20,20,20,53.1,44.88,20,20,27.89,50.41,65.74,24.19,20.66,29.7,20,80.8,59.42,27.17,20,20,20,47.93,40.02,20,20,20,20,32.39,31.98,20,20,21.97,20,36.89,57.3,42.67,20,20,20,20,28.5
ANP32B,106.15,105.95,123.44,86.97,164.41,124.68,144.62,133.45,119.87,97.16,92.78,101.47,180.85,260.12,115.94,119.22,114.52,87.61,78.8,222.49,103.88,120.89,134.97,125.74,75.05,124.59,145.35,157.48,134.06,86.87,80.23,92.2,152.73,136.73,146.97,110.98,122.13,101.34,104.16,99.23,255.8,94.1,58.14,68.72,124.4,135.59,135.71,107.19,69.61,86.6,91.28,252.95,135.77,149.12,113.18,63.49,89.09,112.68,138.26,164.98,130.89,89.82,70.89,126.6,172.2,117.24,152.33,149.15,76.19,87.62,108.28,122.69,183.08,187.15,134.39,147.23,135.28,132.94,104.43,319.54,110.01,107.16,124.62,76.14,80.75,88.66,116.99,94.2,206.93,120.04,92.28,84.45,139.87,232.53,118.72,75.43,83.9,126.79,273.67,253.27,122.14,115.89,88.2,109.11,178.37,246.8,115.47,78.05,69.22,89.51,205.66,214.34,105.78,108.66,113.43,101.97,150.16,211.88,123.22,119.63,118.63,129.9,202.87,190.99,92.69,111.69,80.36,111.13,184.01,205.34
APOE,20,20,20,20,20.42,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,32,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,23.32,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,66.68,20,20,20,20,20,20,20,20,20,20,20,20,23.99,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
APP,65.32,88.06,101.58,83.27,72.5,124.68,107.22,53.53,71.74,63.9,91.03,111.04,117.88,82.58,73.53,75.56,62.59,78.01,118.2,41.37,70.86,58.28,60.78,72.73,81.1,83.06,69.04,63.77,61.67,86.87,88.12,103.97,73.09,112.5,78.49,52.85,57.91,70.46,80.21,107.04,122.93,56.29,65.41,87.26,79.48,52.8,79.41,51.78,89.65,71.06,77.76,57.97,133.89,106.57,49.96,72.9,79.05,108.71,115.78,79.39,55.85,40.67,56.71,78.2,67.33,77.27,62.02,59.57,77.42,102.51,104.27,166.15,140.75,207.75,79.68,20,106.23,101.29,107.44,104.82,111.28,91.12,87.78,99.57,89.89,104.49,105.43,127.51,149.68,92.46,113.45,103.06,217.94,133.66,82.52,92.57,80.94,135.67,120.27,120.71,74.98,84.45,86.4,112.79,167.7,161.11,79.24,91.05,62.52,151.48,147.27,143.62,82.96,102.18,106.81,110.19,120.72,90.62,108.94,110.28,107.21,164.75,161.73,124.15,58.85,84.23,90.41,135.65,94.72,160.77
AREG,20,20,20,20,20,20,20,20,20,20,20,20,20,26.84,20,20,20,32.41,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24.31,22.11,20,20,22.3,20,20,36.34,20,20,20,20,21.8,20,20,20,20,20,20,20,20,20,20,24.73,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20.69,20,20,20,20,20,20,20,20,20,40.33,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,39.98,20,20,20,20,20,71.62,20,20,20,20,20,20
ARG1,20,20,20,20,20,20,20,20,20,21.88,20,20,20,20,20,20,20,26.4,20,20,20,20,20,20,20,20,20,20,29.49,32,32.88,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21.8,20,20,20,20,20,20,26.51,20,31.37,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,36.56,20,20,20,20,20,20,20,20,20,27.37,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,27.98,20,20,20,20,20,66.85,20,20,20,20,20,20
ARG2,82.82,52.29,54,96.23,46.97,75.04,109.3,29.48,33.98,101.53,110.28,97.64,93.65,52.3,55.14,53.73,77.24,74.41,107.46,69.87,161.67,20,26.05,35.75,122.26,73.62,52.08,76.79,45.58,73.15,80.23,70.62,82.46,72.69,45.65,67.65,68.43,141.88,107.75,157.21,101.82,26.89,287.06,212.71,100.21,92.4,103.95,37.25,68.55,76.61,89.59,33.73,113.14,98.52,20,20,28.86,38.45,32.6,20,31.03,67.79,67.34,65.16,24.28,47.96,42.15,23.39,160.99,190.13,187.49,171.26,185.2,178.2,139.15,20,59.02,40.09,116.48,34.6,63.23,55.69,69.35,72.63,54.85,87.6,93.88,219.42,179.34,60.02,86.22,93.04,193.54,148.31,144.77,157.72,105.62,233.3,134.68,108.85,68.93,98.82,144.9,93.18,133.4,93.69,76.98,104.93,98.25,227.22,152.5,161.71,89.19,68.93,63.33,103.61,195.79,115.94,60.72,74.77,108.09,74.45,148.96,134.89,95.63,53.1,77.85,106.23,95.5,100.84
ARHGDIB,865.5,807.71,781.78,508.88,706.64,719.22,917.58,664.14,577.66,527.79,539.17,511.19,728.24,594.22,738.08,876.53,760.39,414.07,556.99,900.07,1078.73,1034.03,1185.95,784.04,555.62,473.84,491.78,619.52,774.84,510.54,472.18,470.81,675.57,638.67,747.24,673.3,643.28,498.98,446.56,683.47,984.7,591.51,325.21,512.68,449.24,601.17,737.76,658.61,398.66,411.9,376.97,866.34,701.48,822.25,679.08,366.85,409.05,430.85,465.37,564.41,671.95,454.17,429.76,497.11,703.15,566.24,1085,1017.55,592.33,593.16,550.44,681.21,1230.76,1142.61,740.94,621.66,680.04,691.06,569.33,1473.06,687.9,718.87,852.83,462.71,522.59,403.18,573.39,885.71,1481.59,751.03,582.39,549.67,640.8,1191.05,610.95,531.45,475.78,706.24,1391.4,1173.65,607.06,632.48,558.91,815.29,1293.59,1528.82,527.52,509.9,468.93,859.29,1450.95,1561.74,703.12,771.18,638.04,695.69,881.81,1034.1,585.75,577.58,633.59,799.97,1001.59,816.5,522.29,628.95,629.09,696.21,990.68,1167.75
ATF2,79.32,83.94,87.44,81.42,71.48,61.19,77.71,72.16,77.4,86.65,75.27,72.75,67.82,66.41,90.49,85.64,89.22,60.01,85.97,66.19,60.54,61.17,81.69,86.29,67.79,75.51,61.77,61.17,81.77,70.1,103.91,70.62,83.39,86.54,62.07,107.81,83.17,71.42,77.82,73.59,60.85,78.98,45.42,51.27,69.11,78,73.63,70.86,83.32,61.06,72.69,92.75,94.29,69.38,72.39,81.13,61.48,62.31,62.95,53.34,60.93,64.4,58.48,70.75,80.58,53.29,62.62,74.13,54.07,93.75,103.27,74.13,93.13,92.23,70.17,20,74.45,80.18,77.32,89.04,73.34,72.56,73.69,76.14,97.51,92.88,89.55,96.5,103.46,81.1,95.3,88.75,89.45,77.82,82.52,89.15,85.88,71,87.14,72.21,82.23,73.67,100.8,77.24,69.37,91.41,79.24,74.58,75.92,88.13,100.22,89.9,66.37,91.63,86.96,87.17,95.69,71.96,76.79,65.42,79.09,80.79,89.38,89.53,101.52,90.63,102.96,104.6,86.96,77.46
ATG10,40.83,30.27,27,20,20,25.4,20,20,20,20,20,20,20,20,42.42,20,20,25.2,20,20,22.01,20,20,36.98,20,20,20,20,20,20,20,41.2,20.61,20,20,21.14,22.11,20,25.14,20,20,20,20,20,20,20,20,29.07,28.48,22.21,20,20,20,20,20.39,24.69,20,20,20,20,25.39,20,20,20,20,20,20,25.59,62.67,36.8,42.11,38.34,47.62,51.94,60.65,20,59.02,53.81,44.18,43.25,39.2,48.94,57.43,46.86,20,31.66,39,26.42,28.28,42.17,43.87,51.53,20,21.97,43.43,66.86,41.46,54.52,26.65,33.41,44.74,46.72,32.4,42.91,25.92,22.85,53.21,45.96,46.89,56.46,40.96,43.85,78.82,80.28,73.73,85.52,73.61,37.31,76.79,57.94,48.33,39.6,42.56,44.17,30.9,28.38,43.95,20,25.62,20
ATG12,83.98,74.3,81.01,96.23,79.65,88.89,86.85,65.17,80.23,75.27,113.79,78.5,72.66,75.01,66.46,82.28,69.25,58.81,94.92,68.95,81.18,65.5,64.33,81.36,92,81.17,67.83,71.58,81.77,103.63,93.38,86.31,59.03,126.35,87.3,73.99,72.65,71.42,74.23,94.77,94.37,57.13,85.39,82.9,76.02,56.4,88.07,62.68,88.59,68.84,69.31,71.67,73.54,77.43,61.18,90.54,84.07,72.91,62.95,85.59,56.42,50.84,59.37,74.47,56.3,58.62,57.8,62.22,60.22,70.09,80.21,97.13,93.13,75.22,65.41,20,57.2,50.64,51.21,75.31,42.36,54,45.51,55.06,35.04,70.72,96.77,67.78,107.6,56.77,48.41,61.55,161.01,78.73,59.36,53.14,55.28,81.15,98.67,68.97,45.95,53.01,54.9,67.43,73.94,100.55,58.87,42.49,20,81.25,88.02,87.16,65.33,53.52,69.95,64.14,51.52,82.62,75,56.08,72.06,90.29,72.35,72.82,73.56,79.65,91.66,96.42,167.7,158.57
ATG16L1,36.16,41.28,32.15,37.01,23.49,20,20,30.26,25.48,20,35.01,20,20,20,42.42,20,29.3,25.2,20,20,20,20,20,39.45,25.42,41.53,24.23,20,26.81,20,28.94,20,20,20,20,41.22,22.11,20.27,33.52,20,20,20,39.97,26.18,20,26.4,20,25.44,20,20,20,23.19,20,20,25.49,36.45,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20.17,21.55,20,20,20,20,20,23.99,20,20,20,20,20.91,20,20,20,20,20,20,20,20,20,20,20,20,41.78,20,20,20,20,20,20
ATG5,55.99,56.42,66.86,20,41.87,38.1,48.62,48.1,47.19,49.89,47.26,59.35,40.37,49.89,50.9,65.49,47.94,40.81,48.36,37.69,39.9,41.9,50.12,67.8,54.47,54.75,35.13,35.14,49.6,48.77,43.4,56.89,44.04,20,39.64,34.88,54.75,37.64,35.92,53.52,49.67,31.93,52.69,46.9,20,39.6,40.43,35.43,49.57,57.73,47.33,34.78,37.71,38.72,38.75,45.86,48.94,49.05,26.98,39.69,41.75,44.06,38.99,37.24,34.22,30.64,39.74,47.66,34.41,51.69,72.19,60.07,68.79,58.21,57.09,20,46.3,53.81,43.18,60.04,37.94,41.34,43.35,38.66,20,55.94,63.55,49.4,52.42,56.77,71.1,57.26,68.31,48.52,36.19,51.43,27.64,59.59,56.89,38.8,33.86,35.94,51.3,44.14,50.31,60.56,31.7,39.89,20,44.07,54.03,52.62,46.67,47.84,56.71,49.34,58.89,62.63,48.22,39.25,53.6,74.45,45.4,37,54.44,53.1,64.04,63.74,75.31,93.54
ATG7,34.99,41.28,33.43,37.01,20,23.09,30.34,34.14,31.15,29.76,20,20,20,20,31.11,20,27.97,20,20,20,26.14,20,20,34.52,38.74,20,20,20,26.81,35.05,27.62,20,20,20,20,34.88,20,24.13,20,20,20,22.69,20,33.82,20,20,20,20,26.37,24.43,20,20,20,20,34.67,23.52,27.6,20,20,20,20,20,20,37.24,20,20,24.08,20,27.04,39.43,29.08,39.62,37.04,26.86,20,20,22.7,24.27,26.11,20,20,20,20,20,20,20,30.33,24.12,26.9,20,20,20,32.53,22.89,31.85,37.72,32.57,50.72,23.05,28.02,20,30.55,38.7,29.42,28.2,20,26.04,20,20,38.56,27.01,20,41.48,21.89,23.63,20,20,30.65,20,20,21.09,20,20,29.84,20,20,25.11,20,29.5,24.85
ATM,118.98,125.22,118.3,49.96,97.01,86.58,79.79,128.02,107.6,85.78,54.27,82.33,132.41,108.73,120.19,110.83,114.52,61.21,73.43,61.6,61.23,126.67,161.02,93.69,62.95,60.41,61.77,65.08,140.76,62.48,48.66,70.62,70.27,88.27,54.86,97.24,94.76,64.66,65.85,37.91,32.29,112.59,56.32,52.36,20,87.6,51.98,117.19,81.21,75.5,92.97,106.45,111.26,85.1,99.93,42.33,60.23,74.24,59.58,66.98,88.58,62.7,62.03,80.06,79.48,78.61,98.14,131.5,72.51,56.07,50.13,34.51,56.09,44.77,89.2,81.8,78.08,80.18,37.15,58.01,53.11,67.5,85.61,57.4,42.66,67.55,40.44,40.21,74.49,68.13,74.12,70.14,73.19,25.63,82.52,65.15,63.17,69.74,88.58,49.58,74.98,90.74,72.9,52.72,42.69,54.85,75.85,44.23,20,39.93,66.23,44.95,76.74,89.2,90.74,78.94,42.69,81.29,75,78.51,67.67,60.2,51.07,115.79,73.56,82.39,92.92,40.86,81.52,63.58
B2M,14973.67,12759.57,15208.76,24422.74,13452.68,17443.64,16840.59,6725.96,8617.66,11890.69,16322.04,11644.34,12581.98,8126.7,7322.84,9529.27,9610.76,10818.63,18912.72,10489.13,11911.48,9443.54,8716.03,9364.15,22212.8,13482.59,10367.28,12525.84,10244.51,16216.9,16820.81,14638.24,13136.64,18137.07,12275.42,7819.59,11086.4,14345.92,11571.12,13434.05,9661.95,6970.45,18851.27,24286.82,19766.38,14929.62,10900.38,6584.3,13738.1,15169.41,13582.6,7225.85,13396.05,11506.17,7672.83,15265.29,17857.8,12412.48,9290.54,9847.99,7076.04,9385.12,10953.11,12513.33,7045.81,8557.5,11356.99,9505.18,10290.89,11647.69,18432.35,25942.15,24148.57,16853.56,12029.88,7562.13,10296.87,12816.82,18238.63,10333.8,7251.43,8553.03,8183.75,10675.07,10099.85,16222.38,20279.47,25613.17,13690.25,9481.17,13065.3,18814.71,26817.53,15730.85,12501.29,18667.57,16821.06,29696.26,13231.29,13665.66,9658.5,12101.49,15419.21,21570.15,18997.55,11642.1,8155.11,9585.79,8163.85,23973.38,17402.64,17913.19,11830.65,11137.91,14158.72,20520.43,21365.19,10410.34,11716.83,12996.39,17236.14,25807.99,19712.57,12530.36,8625.88,10002.74,15437.12,25754.91,15352.39,11956.66
B3GAT1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
BAD,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20.39,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
BATF,50.16,42.66,29.57,53.66,40.85,56.57,45.71,20.95,26.43,34.14,45.51,55.52,67.82,69.85,20,35.26,29.3,27.6,20,54.24,30.27,26.49,20.52,28.35,47.21,20,65.41,61.17,26.81,45.72,34.2,54.93,44.98,76.16,27.63,33.82,27.37,36.68,45.49,83.62,62.09,24.37,78.12,52.36,20,52.8,54.86,32.7,33.75,29.98,43.95,45.32,45.26,32.2,31.61,44.68,58.97,46.4,34.85,38.45,25.39,20,24.81,53.99,37.53,26.65,22.28,20,20,25.41,41.11,65.18,80.43,56.41,24.98,20,26.33,33.76,47.19,33.58,25.29,23.62,24.92,24.6,20,21.11,40.44,68.93,87.6,37.31,33.28,37.22,73.19,69.58,20,20,35.54,72.27,67.7,52.81,27.81,33.24,28.8,46.59,72.42,71.98,23.77,20.81,20,66.1,85.4,71.26,26.96,20,20,20,73.61,65.3,51.79,20,36.03,49.11,97.89,76.4,29.42,33.87,20,49.03,64.44,62.85
BATF3,78.15,99.07,82.29,118.43,47.99,31.17,46.13,25.6,57.58,49.02,66.52,59.35,32.29,48.51,59.39,48.7,38.62,49.21,78.8,23.9,38.53,50.57,38.28,49.31,81.1,73.62,44.82,40.35,46.92,83.82,63.13,54.93,29.05,45,36.44,28.54,52.64,66.6,58.66,57.98,45.94,30.25,134.44,80.72,103.67,43.2,46.2,43.6,112.85,65.51,47.33,31.62,37.71,20,28.55,99.94,84.07,55.68,42.72,28.53,40.06,79.65,71.77,52.13,23.18,20,29.5,26.03,25.81,20.15,23.06,25.56,22.22,20,20,85.89,20,28.49,27.11,20,20,20,20,20,20,21.11,20,20,20,20,20,20,20,20,20,20,21.72,20,20,20,24.19,20,20,24.52,20,20,20,20,20,35.8,25.27,22.48,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
BAX,139.97,136.22,141.44,135.09,141.94,161.62,139.22,83.02,96.28,115.54,161.05,118.7,158.24,139.69,125.84,120.9,105.2,130.82,137.91,164.57,143.79,145.45,142.08,126.98,79.89,156.69,122.34,98.92,116.63,111.25,115.74,145.17,133.05,154.04,165.79,97.24,90.54,109.06,112.54,142.71,157.7,87.38,74.49,112.35,152.05,112.79,141.49,111.74,99.14,107.69,136.92,164.42,169.71,150.65,98.91,95.24,119.2,132.57,109.04,140.17,103.25,86.43,67.34,137.78,107.07,97.26,122.83,100.17,172.05,109.52,133.35,217.27,293.14,314.31,189.1,151.32,119.85,154.04,133.55,257.47,136.57,127.41,157.13,126.51,134.08,135.1,187.76,170.02,256.59,128.15,108.92,137.42,165.89,281.97,136.09,169.72,132.27,210.48,257.83,257.58,143.9,139.25,128.7,174.09,236.31,292.51,124.52,85.85,113.88,199.67,323.3,305.33,155.56,126.5,120.05,136.51,217.88,223.88,158.94,138.32,137.97,174.25,245.43,201.74,111.81,82.39,150.68,240.24,213.51,224.34
BCAP31,80.48,105.95,102.87,81.42,87.82,106.21,98.07,72.16,67.02,61.27,98.03,91.9,92.04,49.2,89.08,63.81,82.56,68.41,94.92,81.82,86,62.13,73.41,86.29,77.47,122.71,100.54,108.03,80.43,86.87,74.97,88.28,99.32,115.96,72.48,64.48,69.49,71.42,73.03,102.58,70.78,61.34,85.39,81.81,138.23,97.19,90.96,67.22,69.61,55.51,98.04,81.15,92.4,82.8,61.18,58.79,74.03,123.29,101.17,65.74,66.01,66.09,68.23,83.78,96.03,91.93,74.66,76.34,73.73,82.36,82.22,95.85,102.65,150.44,114.17,94.07,93.52,107.62,105.43,115,92.31,89.44,79.11,70.28,88.37,85.49,106.88,117.18,124.85,77.86,125.56,118.81,78.07,138.24,92.66,116.58,78.97,97.63,117.39,129.33,90.7,97.03,100.8,117.7,96.81,98.26,89.43,73.71,104.95,93.64,133.33,115.66,103.7,97.31,101.14,106.9,94.22,111.94,96.43,119.63,96.66,118.81,127.68,89.53,80.92,86.06,97.94,117.67,62.11,70.88
