,sample001,sample002,sample003,sample004,sample005,sample006,sample007,sample008,sample009,sample010,sample011,sample012,sample013,sample014,sample015,sample016,sample017,sample018,sample019,sample020,sample021,sample022,sample023,sample024,sample026,sample027,sample028,sample029,sample030,sample031,sample032,sample033,sample034,sample035,sample036,sample037,sample038,sample039,sample040,sample041,sample042,sample043,sample044,sample045,sample046,sample047,sample048,sample049,sample050,sample051,sample052,sample053,sample054,sample055,sample056,sample057,sample058,sample059,sample060,sample061,sample062,sample063,sample064,sample065,sample066,sample067,sample069,sample070,sample071,sample072,sample073,sample074,sample075,sample076,sample077,sample078,sample079,sample080,sample081,sample082,sample083,sample084,sample085,sample086,sample087,sample088,sample089,sample090,sample091,sample092,sample093,sample094,sample095,sample096,sample097,sample098,sample099,sample100,sample101,sample102,sample103,sample104,sample105,sample106,sample107,sample108,sample109,sample110,sample111,sample112,sample113,sample114,sample115,sample116,sample117,sample118,sample119,sample120,sample121,sample122,sample123,sample124,sample125,sample126,sample127,sample128,sample129,sample130,sample131,sample132
PMCH,20,20,20,20,20.42,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30.25,46.34,20,20,20,20,20,52.56,20,20,20,20,20,20,20,20,20,20,20,87.95,20,20,20,20,34.05,159.96,20,20,20,20,20,20
PML,29.16,70.18,68.15,96.23,30.63,35.79,42.39,31.03,45.31,56.89,70.02,42.12,37.14,36.82,43.83,20,20,51.61,98.5,35.86,20,20,20,35.75,85.95,47.19,27.86,33.84,26.81,64.01,76.28,64.74,30.92,57.12,20,30.65,46.32,62.73,47.89,37.91,29.8,21.85,92.66,81.81,20,43.2,33.21,20,63.28,58.84,62.55,32.67,39.6,31.05,28.55,52.91,67.76,42.42,26.98,20,25.39,62.7,46.96,44.68,22.08,20,20,20,20,58.7,59.16,88.19,51.86,32.24,20,20,39.95,37.98,27.11,20,20,20,21.67,24.6,20,35.89,51.99,27.57,38.63,20,49.92,41.51,73.19,26.55,20,65.15,52.32,60.86,22.33,42.03,20,36.83,58.5,50.27,30.49,39.99,20,38.16,20,63.35,25.27,20,21.78,30.81,33.08,46.05,32.39,20,20,44.86,42.18,39.6,29.79,26.26,20,44.86,43.95,44.13,24.07,41.65
POU2F2,29.16,34.4,20,20,21.44,20,21.61,34.91,37.76,30.63,20,20,20,20,20,40.3,20,20,20,20,30.27,25.04,33.15,24.66,31.47,20,20,20,26.81,20,32.88,20,20,20,24.03,21.14,20,24.13,20,20,20,20.17,20,31.63,20,20,20,35.43,25.31,20,20,20,20,60.57,28.55,20,31.37,20,20,20,20,20,31.01,37.24,20,20,22.28,25.59,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
PPARG,20,28.9,20,20,20,20,20,20,20,20,20,20,20,20,20,20,26.63,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20.17,22.63,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,32.23,20,20,20,20,20,20
PPP1R12B,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24.07,20
PRDM1,75.82,82.56,97.72,83.27,74.54,54.26,69.4,51.21,47.19,68.27,85.78,67.01,35.52,78.79,65.04,83.96,38.62,68.41,77.01,63.44,40.59,39.49,41.44,83.83,123.47,79.29,76.31,74.19,72.39,88.39,117.06,88.28,80.58,93.46,34.04,59.19,52.64,70.46,58.66,32.33,86.92,42.85,136.26,150.53,103.67,61.2,47.64,46.33,79.1,72.17,76.07,62.18,41.49,41.78,53.02,82.31,90.34,91.47,47.21,42.18,46.26,76.26,66.46,70.75,67.33,55.96,48.77,59.57,100.77,129.67,141.37,204.49,174.61,111.93,65.41,89.98,60.83,86.51,89.37,106.35,65.76,61.59,54.18,72.63,77.7,79.16,138.65,149.34,135.88,82.73,99.84,101.63,198.42,114.44,69.49,85.72,67.12,150.88,89.3,93.76,73.77,84.45,118.8,137.31,109.01,97.12,63.39,55.5,69.22,163.87,123.74,104.15,72.59,93.26,117.21,141.44,111.88,57.3,100.01,87.85,118.63,179,133.36,87.14,97.1,124.51,102.96,158.53,148.29,122.04
PRF1,75.82,82.56,64.29,79.57,157.26,94.66,90.59,62.07,54.75,49.02,66.52,89.98,67.82,104.25,70.7,80.6,65.25,45.61,73.43,284.09,59.17,113.66,124.71,61.64,52.05,135.92,118.7,152.28,68.37,45.72,60.5,115.74,202.39,72.69,75.69,62.36,36.85,51.15,46.69,52.4,255.8,44.53,20,22.91,20,235.19,150.15,66.32,48.51,41.08,86.21,324.62,98.06,48.68,68.32,50.56,48.94,132.57,195.59,114.12,82.37,49.15,55.82,106.12,196.48,161.21,143.9,179.15,162.22,200.64,326.86,434.54,801.11,280.28,70.17,94.07,86.25,158.26,184.76,541.9,129.61,167.91,199.39,179.23,150.83,163.6,229.64,527.29,804.94,253.05,301.03,314.91,424.49,793.73,81.07,121.72,120.43,207.94,633.05,629.4,153.58,154.53,152.1,304.05,429.16,739.27,141.5,133.55,98.25,304.33,772.1,763.06,116.15,174.35,199.45,231.9,403.37,551.7,233.94,242.99,224.09,394.44,602.94,337.82,239.81,241.69,226.02,353.01,437.11,645.99
PRG2,20,20,20,20,20,20,20,20,20,20,20,20,20,75.01,20,20,20,20,20,20,20,20,20,27.12,20,20,20,20,20,20,20,20,20,20,20.42,20,20,20,20,20,63.33,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,22.48,20,20,20,20,20,20,20,20,20,20,20,20,20,20,34.92,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,29.1,20,20,20,20,20,26.28,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,26.26,20,20,20,20,20,20
PRKCA,31.49,34.4,34.72,37.01,20,20,20,40.34,31.15,27.13,47.26,44.03,32.29,20,39.59,45.34,33.29,32.41,20,20,20,22.15,23.28,41.91,26.63,41.53,43.61,20,38.88,20,30.25,39.23,29.05,20,20,29.6,21.06,28.95,29.93,20,20,36.97,20,29.45,20,36,31.76,25.44,27.42,26.65,20,30.56,20,20,30.59,20,20,46.4,22.48,27.29,20,37.28,25.7,20,25.39,26.65,20,20,20,20,20,20,21.17,20,20,20,20,22.16,20,20,20,20,20,20,20,20,20,22.98,22.76,20,20,20,20,20,20,20,20,20,20.89,20,20,26.95,22.5,24.52,20,26.28,20,20,20,20,22.66,20,20.74,20,20,20,20,20,20,20,20,31.68,32.63,20,20,20,20,20,20.96,21.19
PRKCB,172.63,209.15,230.16,310.88,161.34,248.21,309.6,130.35,168.01,273.96,283.59,143.59,238.98,140.38,155.53,179.67,163.8,127.22,275.81,168.25,164.42,153.64,162.6,150.4,505.99,177.45,188.96,270.72,127.35,349,377.48,233.44,287.66,351.35,185.01,140.58,232.68,303.06,178.39,282.08,135.35,126.87,492.36,549.77,252.26,286.79,249.77,112.65,208.82,200.96,226.52,148.61,262.11,191.67,127.46,288.07,232.13,167.04,203.46,161.26,131.46,188.11,250.77,204.8,126.94,193.19,172.2,151.35,200.31,213.78,198.52,215.99,275.15,364.45,137.96,118.61,123.48,149.82,171.7,214.22,122.66,157.78,150.63,112.46,124.93,135.1,141.54,273.41,317.98,158.97,143.71,231.89,395.21,278.31,167.94,262.3,161.88,259.93,228.3,283.44,145.11,187.77,238.51,210.87,254.6,205.67,136.98,133.55,87.09,224.46,268.4,235.17,155.56,166.24,161.64,180.91,251.74,182.57,158.94,171.96,230.24,198.01,224.15,192.19,120.64,175.78,174.54,236.97,298.13,376.34
