"gene","avexpr","lfc","padj","pvalue","Comparison","Significant","Regulation","Species"
"TAP2",7.41227754571541,0.357172425904721,0.00446369172879673,0.000284053110014338,"Early",FALSE,"None","AGM"
"RNASEL",7.29028278052209,0.526568464566497,0.00546082249727698,0.000378406611310286,"Early",FALSE,"None","AGM"
"IRF5",7.11998898899621,0.298835319694815,0.00453429926459967,0.000294435017181797,"Early",FALSE,"None","AGM"
"CCRL2",9.02792863628318,0.959003006055536,0.00919791493907622,0.000680884612373175,"Early",FALSE,"None","AGM"
"MAP4K2",6.90804817503158,-0.310209650343616,0.00544602380734119,0.000360710667758962,"Early",FALSE,"None","AGM"
"IL10RA",9.80209285834711,0.351415254439946,0.0113752126876835,0.000871607205939386,"Early",FALSE,"None","AGM"
"IL16",8.32014175458915,-0.434650024445547,0.0118541163874694,0.000939092337189135,"Early",FALSE,"None","AGM"
"RPS6KA5",8.40374796993382,0.399709257725929,0.0118541163874694,0.000938106426902712,"Early",FALSE,"None","AGM"
"PSMB10",8.36259608316972,0.4273580260065,0.0128993912136087,0.00105540473565889,"Early",FALSE,"None","AGM"
"IFI35",7.07366710096854,0.262975057629721,0.00726809076353306,0.000528588419166041,"Early",FALSE,"None","AGM"
"TBK1",8.30608486447645,0.695018897459761,0.0159189261675032,0.00136447938578599,"Early",FALSE,"None","AGM"
"GNAQ",8.71331454576599,-0.39917266194532,0.0159189261675032,0.00132931788093004,"Early",FALSE,"None","AGM"
"MMP9",9.03585119308365,-0.766294649284024,0.0186766211751107,0.00167361930010732,"Early",FALSE,"None","AGM"
"CR1",6.7863202478441,-0.337616936566603,0.0101130646166419,0.000761763308786015,"Early",FALSE,"None","AGM"
"TAPBP",9.23596490449587,0.342666667577696,0.0204052903357153,0.00185502639415593,"Early",FALSE,"None","AGM"
"CTSC",7.9368208288484,0.352302351320271,0.0159189261675032,0.00135949183689546,"Early",FALSE,"None","AGM"
"CSF1",7.50178195552668,0.359497827052992,0.0170653018065825,0.00150706561408781,"Early",FALSE,"None","AGM"
"IRAK2",6.88544155066497,-0.295666258335291,0.0128993912136087,0.00105167723301524,"Early",FALSE,"None","AGM"
"CXCL11",7.46350299717489,0.456507145414379,0.0169214266790689,0.00147238387986703,"Early",FALSE,"None","AGM"
"PYCARD",9.4410982581142,0.498940738816698,0.0323401873869602,0.00303783247401323,"Early",FALSE,"None","AGM"
"LY96",8.49646972357031,0.766513335075577,0.0323401873869602,0.00310230377176008,"Early",FALSE,"None","AGM"
"TGFBR1",8.78685055294494,-0.418409560529422,0.0323401873869602,0.00310801800861696,"Early",FALSE,"None","AGM"
"PTGS2",7.62648235519209,-0.741682128655625,0.0353151178481748,0.00343978420599105,"Early",FALSE,"None","AGM"
"B2M",16.2403540164428,0.36519180141611,0.0395988971095888,0.00401131685006224,"Early",FALSE,"None","AGM"
"CD7",8.82714634732696,-0.563345109566139,0.036531831539952,0.0036531831539952,"Early",FALSE,"None","AGM"
"IL1R2",8.57426601391807,-1.06368607714276,0.0362392614589759,0.00357686216997684,"Early",TRUE,"Down","AGM"
"TNFSF14",6.85809456197141,-0.357060988488264,0.0306553710268848,0.00282666408169977,"Early",FALSE,"None","AGM"
"FOS",10.4765706277609,-0.911462154966394,0.0475050984026955,0.00487389970625058,"Early",FALSE,"None","AGM"
"CLEC7A",9.17096353981185,0.740979132907853,0.0509683656992036,0.00529541461809908,"Early",FALSE,"None","AGM"
"TAGAP",10.2980282701893,0.474767107857135,0.0558985162536061,0.00588023352797674,"Early",FALSE,"None","AGM"
"MKNK1",7.60047428517359,0.461229697419108,0.0564241722100012,0.00600880794963649,"Early",FALSE,"None","AGM"
"CTSS",11.8599089108975,0.432364421343028,0.0656790003413604,0.0070796844523804,"Early",FALSE,"None","AGM"
"CD1C",7.20789557957546,-0.587801882438632,0.0817161419020979,0.0090206130671147,"Early",FALSE,"None","AGM"
"HLA-DRA",12.9777722543176,0.396596447541413,0.0849308872303763,0.00959608725849707,"Early",FALSE,"None","AGM"
"CSF1R",7.44173756285644,0.622840032833903,0.0854102090669835,0.0097611667505124,"Early",FALSE,"None","AGM"
"IL18RAP",8.02152960818119,0.469228868494472,0.0733127681077399,0.00799775652084435,"Early",FALSE,"None","AGM"
"GPR183",8.50155893519715,-0.323742837739116,0.117760278185461,0.0136112529331247,"Early",FALSE,"None","AGM"
"FCGR3",8.71223069822922,0.685292421746775,0.122963494586918,0.0145320493602721,"Early",FALSE,"None","AGM"
"FCER1G",11.0662547745297,0.466402561965495,0.119975042873423,0.0140230569592313,"Early",FALSE,"None","AGM"
"CD53",11.6581698646187,0.297701656923433,0.127190949583138,0.0151968407294139,"Early",FALSE,"None","AGM"
"LCP2",10.6210832376,0.334695346867704,0.130862809630462,0.0159754598769655,"Early",FALSE,"None","AGM"
"IL1B",8.00573097518965,0.599052804935498,0.143830961346247,0.0182564948506152,"Early",FALSE,"None","AGM"
"MCL1",11.8674374704998,0.364698834763887,0.143830961346247,0.0180484887176336,"Early",FALSE,"None","AGM"
"MAPK1",9.66473228182285,-0.252074151783003,0.143830961346247,0.0181548811999297,"Early",FALSE,"None","AGM"
"CCND3",10.0369595903345,0.28283858859065,0.143830961346247,0.0183057587167951,"Early",FALSE,"None","AGM"
"RIPK1",7.5855210196648,0.329469003266863,0.147302124085588,0.0189388445252899,"Early",FALSE,"None","AGM"
"PTPN2",8.94594565547426,0.229315472009958,0.16326020264601,0.0216266761946663,"Early",FALSE,"None","AGM"
"ITGA5",9.0545868554327,-0.424040683845272,0.16088826924285,0.0211035262253609,"Early",FALSE,"None","AGM"
"KLRC3",8.34211448469215,-0.604342989956287,0.171188906346229,0.0228992952644956,"Early",FALSE,"None","AGM"
"RAF1",7.71806245143837,-0.362036937553214,0.184737020006225,0.0253984869226725,"Early",FALSE,"None","AGM"
"STAT5A",8.45717465357636,0.264541087079168,0.184737020006225,0.0254313300268309,"Early",FALSE,"None","AGM"
"CD19",7.077370282618,-0.512669993389101,0.192298079129508,0.0277208919264615,"Early",FALSE,"None","AGM"
"IFNAR2",7.45445923623777,0.332327140863297,0.160462489011253,0.0208392842871758,"Early",FALSE,"None","AGM"
"CD68",8.21036317875409,0.448179663813349,0.198457697213586,0.0293378738089973,"Early",FALSE,"None","AGM"
"PSMC2",9.48703711560541,0.319816041063499,0.192298079129508,0.0271701494113971,"Early",FALSE,"None","AGM"
"CXCL5",6.78431323634252,-0.183530125843855,0.0849308872303763,0.0095605499659135,"Early",FALSE,"None","AGM"
"CCR3",7.48087574894873,-0.500838818790867,0.204164441386714,0.0320829836464836,"Early",FALSE,"None","AGM"
"HLA-C",8.26222187904152,0.337219612673731,0.207533917809998,0.0329313644301998,"Early",FALSE,"None","AGM"
"FCGR2B",7.47596021444219,0.428229843675079,0.198457697213586,0.0296170176175666,"Early",FALSE,"None","AGM"
"CEACAM8",10.1952544931976,-0.643817948591757,0.199360520844041,0.0300335330102711,"Early",FALSE,"None","AGM"
"CHUK",7.90309473887021,0.305819419999392,0.207533917809998,0.0334210465044673,"Early",FALSE,"None","AGM"
"ALOX5",7.21763295178409,-0.370860117007271,0.172607632093485,0.0233132386204188,"Early",FALSE,"None","AGM"
"LGALS3",10.8999734961009,-0.405807613305582,0.200330801496781,0.0307000449047015,"Early",FALSE,"None","AGM"
"CXCR4",9.93767793549104,-0.377846060016655,0.203313419617532,0.0316852082520829,"Early",FALSE,"None","AGM"
"FCGR2A",10.66942210924,0.543857460495834,0.207533917809998,0.0333563277211514,"Early",FALSE,"None","AGM"
"FASLG",8.31038310067873,0.335752606702652,0.225551286827529,0.0374942398882125,"Early",FALSE,"None","AGM"
"STAT5B",9.09440263569942,-0.272697516858658,0.218299578988053,0.0354382433422164,"Early",FALSE,"None","AGM"
"AHR",7.20644189995516,-0.339213012684867,0.220979513692495,0.0361602840587719,"Early",FALSE,"None","AGM"
"HSH2D",7.90619807589696,0.303063652209512,0.252591406953154,0.0426453024726105,"Early",FALSE,"None","AGM"
"S100A9",15.2298131507615,0.726120557348287,0.255135157593217,0.0434061112268979,"Early",FALSE,"None","AGM"
"CD82",7.35024906274547,-0.34785691487876,0.224455238055552,0.0370205392637079,"Early",FALSE,"None","AGM"
"TBX21",8.938345072717,0.413665015796536,0.258399956107449,0.0442971353327055,"Early",FALSE,"None","AGM"
"EOMES",7.44834966709057,-0.349403736095697,0.261608986518183,0.0451870067622317,"Early",FALSE,"None","AGM"
"IL15",7.63206341111047,0.316030632951125,0.199476906528747,0.0303101273556667,"Early",FALSE,"None","AGM"
"MYC",7.56123053678547,-0.397765551030264,0.274966219846482,0.0481694845272917,"Early",FALSE,"None","AGM"
"BTK",7.19003299747122,-0.297945850140142,0.225778779352126,0.0378252760213302,"Early",FALSE,"None","AGM"
"BIRC2",8.88734365763444,0.190578678790922,0.274966219846482,0.0482083632198378,"Early",FALSE,"None","AGM"
