"gene","Early.lfc","Early.padj","Late.lfc","Late.padj","Middle.lfc","Middle.padj"
"ABCB1",-0.0458662156063321,0.560876638215718,-0.213163917005792,2.53958915871097e-05,-0.146803757250673,0.0466149476728666
"ABCF1",0.022105199235769,0.914416081765055,-0.0754300183269283,0.602652539351264,0.0872135502116578,0.610917033012636
"ABL1",0.0779192512949933,0.721009973943895,-0.227954800842053,0.114676259543876,-0.265205676941445,0.109176730397741
"ADA",-0.0413805664807025,0.674269371108668,0.384568768360777,0.00185958774631912,-0.0322795276893082,0.748268243461586
"AGER",-0.042422684482033,0.570859284954887,-0.19529767770502,4.82514576512029e-05,-0.244429252540784,1.08814644778403e-05
"AHR",-0.339213012684867,0.220979513692495,-0.173704735722515,0.386746647968299,-0.890436952656215,1.6103732779807e-06
"AICDA",-0.0458662156063321,0.731995651715587,0.0854316932824988,0.520945207302502,-0.244429252540784,0.0183422495855638
"AIRE",-0.0458662156063321,0.532792385521599,-0.213163917005792,5.63498403413236e-06,-0.244429252540784,6.00158843066951e-06
"AKT3",0.0466365921672498,0.87494597685652,-1.37765263824199,3.45442216835873e-09,-0.375587188073421,0.112035040303525
"ALAS1",-0.099014533129032,0.612403923183162,0.811924771029252,3.33539547697852e-07,-0.0162253448791789,0.92817076154761
"ALOX12",-0.0458662156063321,0.532792385521599,-0.213163917005792,5.63498403413236e-06,-0.244429252540784,6.00158843066951e-06
"ALOX15",-0.0657869879167103,0.737795616518558,-0.53221750946078,2.20827622502421e-05,-0.578493310747893,1.50895229595654e-05
"ALOX5",-0.370860117007271,0.172607632093485,0.551682534242666,0.0144763911233828,-0.458950888183168,0.0158652541176415
"ANP32B",-0.184357948686136,0.498194492133607,0.73214144248378,6.64390226480716e-07,-0.0729726440631531,0.665541815334207
"APOE",-0.0458662156063321,0.62035577318443,-0.199488708813061,0.000884992255464521,-0.139174432520354,0.152794194581105
"APP",0.157068111603241,0.532792385521599,0.53618727475572,1.87306930144903e-05,0.536674180181656,0.000161125463276944
"AREG",-0.0458662156063321,0.721009973943895,0.0831743650748473,0.520945207302502,-0.244429252540784,0.0140749079770508
"ARG1",-0.0458662156063321,0.706552681840474,0.0322747285975069,0.795074089492153,-0.244429252540784,0.00801068817101687
"ARG2",0.114963103948472,0.71855386621873,0.52041898400711,0.0156356154784829,0.381856863537266,0.126822957139985
"ARHGDIB",-0.0959089972283689,0.578196817547192,0.799229610124183,1.06538341906729e-09,0.0490105827250655,0.727684331546162
"ATF2",0.158098658034612,0.4072203129437,-0.00746297436199939,0.944012275073746,-0.0936137790753353,0.457709434149736
"ATG10",-0.238276745431352,0.532792385521599,-0.771606227576794,0.000908339224252585,-0.57087558730858,0.0339173846510641
