"gene","avexpr","lfc","padj","pvalue","Comparison","Significant","Regulation","Species"
"TAP2",7.41227754571541,0.357172425904716,0.00446369172879705,0.000284053110014358,"Early",FALSE,"None","AGM"
"RNASEL",7.29028278052209,0.526568464566481,0.0054608224972769,0.000378406611310394,"Early",FALSE,"None","AGM"
"IRF5",7.11998898899621,0.298835319694805,0.00453429926460066,0.000294435017181861,"Early",FALSE,"None","AGM"
"CCRL2",9.02792863628318,0.959003006055532,0.00919791493907606,0.000680884612373163,"Early",FALSE,"None","AGM"
"MAP4K2",6.90804817503158,-0.310209650343604,0.00544602380734429,0.000360710667759167,"Early",FALSE,"None","AGM"
"IL10RA",9.80209285834711,0.351415254439948,0.0113752126876835,0.000871607205939388,"Early",FALSE,"None","AGM"
"IL16",8.32014175458915,-0.434650024445544,0.0118541163874711,0.000939092337189266,"Early",FALSE,"None","AGM"
"RPS6KA5",8.40374796993382,0.399709257725934,0.0118541163874711,0.000938106426902636,"Early",FALSE,"None","AGM"
"PSMB10",8.36259608316972,0.427358026006495,0.0128993912136113,0.00105540473565911,"Early",FALSE,"None","AGM"
"IFI35",7.07366710096854,0.262975057629717,0.00726809076353275,0.000528588419166018,"Early",FALSE,"None","AGM"
"TBK1",8.30608486447645,0.695018897459765,0.0159189261675014,0.00136447938578583,"Early",FALSE,"None","AGM"
"GNAQ",8.71331454576599,-0.39917266194532,0.0159189261675014,0.00132931788093014,"Early",FALSE,"None","AGM"
"MMP9",9.03585119308365,-0.766294649284017,0.0186766211751117,0.00167361930010741,"Early",FALSE,"None","AGM"
"CR1",6.78632024784409,-0.33761693656662,0.0101130646166359,0.00076176330878556,"Early",FALSE,"None","AGM"
"TAPBP",9.23596490449587,0.342666667577701,0.020405290335714,0.00185502639415582,"Early",FALSE,"None","AGM"
"CTSC",7.9368208288484,0.352302351320267,0.0159189261675014,0.00135949183689551,"Early",FALSE,"None","AGM"
"CSF1",7.50178195552668,0.359497827052992,0.0170653018065803,0.00150706561408761,"Early",FALSE,"None","AGM"
"IRAK2",6.88544155066497,-0.295666258335308,0.0128993912136113,0.00105167723301426,"Early",FALSE,"None","AGM"
"CXCL11",7.46350299717489,0.45650714541438,0.0169214266790673,0.00147238387986689,"Early",FALSE,"None","AGM"
"PYCARD",9.4410982581142,0.4989407388167,0.032340187386961,0.00303783247401316,"Early",FALSE,"None","AGM"
"LY96",8.49646972357031,0.766513335075575,0.032340187386961,0.00310230377176008,"Early",FALSE,"None","AGM"
"TGFBR1",8.78685055294494,-0.418409560529422,0.032340187386961,0.00310801800861703,"Early",FALSE,"None","AGM"
"PTGS2",7.62648235519209,-0.741682128655628,0.0353151178481719,0.00343978420599077,"Early",FALSE,"None","AGM"
"B2M",16.2403540164428,0.36519180141612,0.0395988971095805,0.0040113168500614,"Early",FALSE,"None","AGM"
"CD7",8.82714634732695,-0.563345109566137,0.0365318315399531,0.00365318315399531,"Early",FALSE,"None","AGM"
"IL1R2",8.57426601391807,-1.06368607714276,0.0362392614589765,0.0035768621699769,"Early",TRUE,"Down","AGM"
"TNFSF14",6.85809456197141,-0.35706098848826,0.0306553710268901,0.00282666408170026,"Early",FALSE,"None","AGM"
"FOS",10.4765706277609,-0.911462154966395,0.0475050984026952,0.00487389970625055,"Early",FALSE,"None","AGM"
"CLEC7A",9.17096353981185,0.74097913290786,0.0509683656991993,0.00529541461809863,"Early",FALSE,"None","AGM"
"TAGAP",10.2980282701893,0.474767107857136,0.0558985162536047,0.00588023352797659,"Early",FALSE,"None","AGM"
"MKNK1",7.60047428517359,0.461229697419113,0.0564241722099962,0.00600880794963596,"Early",FALSE,"None","AGM"
"CTSS",11.8599089108975,0.432364421343019,0.0656790003413736,0.00707968445238182,"Early",FALSE,"None","AGM"
"CD1C",7.20789557957546,-0.58780188243863,0.0817161419021053,0.00902061306711552,"Early",FALSE,"None","AGM"
"HLA-DRA",12.9777722543176,0.396596447541405,0.0849308872303865,0.00959608725849822,"Early",FALSE,"None","AGM"
"CSF1R",7.44173756285643,0.622840032833903,0.0854102090669754,0.00976116675051148,"Early",FALSE,"None","AGM"
"IL18RAP",8.02152960818118,0.469228868494458,0.0733127681077574,0.00799775652084626,"Early",FALSE,"None","AGM"
"GPR183",8.50155893519715,-0.323742837739113,0.117760278185474,0.0136112529331262,"Early",FALSE,"None","AGM"
"FCGR3",8.71223069822922,0.685292421746773,0.122963494586919,0.0145320493602723,"Early",FALSE,"None","AGM"
"FCER1G",11.0662547745297,0.466402561965488,0.119975042873434,0.0140230569592325,"Early",FALSE,"None","AGM"
"CD53",11.6581698646187,0.297701656923435,0.127190949583135,0.0151968407294135,"Early",FALSE,"None","AGM"
"LCP2",10.6210832376,0.334695346867708,0.130862809630458,0.015975459876965,"Early",FALSE,"None","AGM"
"IL1B",8.00573097518965,0.599052804935494,0.143830961346224,0.0182564948506159,"Early",FALSE,"None","AGM"
"MCL1",11.8674374704998,0.364698834763892,0.143830961346224,0.0180484887176323,"Early",FALSE,"None","AGM"
"MAPK1",9.66473228182285,-0.252074151782997,0.143830961346224,0.0181548811999324,"Early",FALSE,"None","AGM"
"CCND3",10.0369595903345,0.282838588590657,0.143830961346224,0.0183057587167922,"Early",FALSE,"None","AGM"
"RIPK1",7.5855210196648,0.329469003266864,0.147302124085584,0.0189388445252894,"Early",FALSE,"None","AGM"
"PTPN2",8.94594565547426,0.229315472009956,0.163260202646025,0.0216266761946683,"Early",FALSE,"None","AGM"
"ITGA5",9.05458685543269,-0.424040683845268,0.160888269242859,0.0211035262253621,"Early",FALSE,"None","AGM"
"KLRC3",8.34211448469215,-0.604342989956287,0.171188906346228,0.0228992952644955,"Early",FALSE,"None","AGM"
"RAF1",7.71806245143837,-0.362036937553215,0.18473702000625,0.0253984869226727,"Early",FALSE,"None","AGM"
"STAT5A",8.45717465357636,0.264541087079163,0.18473702000625,0.0254313300268344,"Early",FALSE,"None","AGM"
"CD19",7.077370282618,-0.512669993389095,0.192298079129553,0.027720891926468,"Early",FALSE,"None","AGM"
"IFNAR2",7.45445923623777,0.332327140863298,0.160462489011252,0.0208392842871756,"Early",FALSE,"None","AGM"
