"gene","avexpr","lfc","padj","pvalue","Comparison","Significant","Regulation","Species"
"RAG2",6.74086941638223,-0.244429252540787,0.00475634469551598,0.00222992264296269,"Middle",FALSE,"None","AGM"
"TNFRSF11A",6.74381531455676,-0.182653684207162,0.00556980125756359,0.0026691644987545,"Middle",FALSE,"None","AGM"
"CHUK",7.90309473887021,0.441240269558945,0.0151362693996719,0.00809888700346082,"Middle",FALSE,"None","AGM"
"SKI",6.82976636864677,-0.324120887318111,0.00553810240852002,0.00264678141082515,"Middle",FALSE,"None","AGM"
"CXCR1",8.43098066951502,0.593922453080113,0.0147481946487992,0.00783378131345309,"Middle",FALSE,"None","AGM"
"CYSLTR2",6.77819057985236,-0.244429252540787,0.00509554718763473,0.00240880412506369,"Middle",FALSE,"None","AGM"
"IRAK3",9.30809475237053,0.740009095190111,0.0155205773779128,0.0083448299148778,"Middle",FALSE,"None","AGM"
"TNFRSF4",6.74893054034053,-0.189666758185049,0.00597838766701643,0.0028804958759261,"Middle",FALSE,"None","AGM"
"IFNGR1",9.30896052298963,0.701501339620634,0.0156139445522456,0.00841530777815833,"Middle",FALSE,"None","AGM"
"MAFG",6.86847767712256,-0.203901615577887,0.0060715293564193,0.00294114344148623,"Middle",FALSE,"None","AGM"
"MBL2",6.76857995031969,-0.244429252540786,0.00552118926810088,0.00263152787193899,"Middle",FALSE,"None","AGM"
"CCR7",6.84381414040601,-0.329780237237056,0.00888751620988361,0.00450146924916183,"Middle",FALSE,"None","AGM"
"IL17RA",7.9815396947555,0.693584508089358,0.018210215461186,0.00998014405794869,"Middle",FALSE,"None","AGM"
"CFB",6.88116202848557,-0.210610650678175,0.00621405024718644,0.00302632317233106,"Middle",FALSE,"None","AGM"
"LEF1",7.76455913294018,-0.661560799379978,0.0188385723063985,0.0104223789643192,"Middle",FALSE,"None","AGM"
"C4B",7.70915574181235,0.589343860539739,0.0185123113997399,0.0102178342141422,"Middle",FALSE,"None","AGM"
"EGR2",6.7644116625715,-0.244429252540787,0.00606714915618463,0.00293114218974115,"Middle",FALSE,"None","AGM"
"IL22RA2",6.78340986087169,-0.244429252540787,0.00616056628935151,0.00299227505482788,"Middle",FALSE,"None","AGM"
"NOTCH2",9.02057297355795,0.285124332151518,0.0180819447234847,0.00988636198517798,"Middle",FALSE,"None","AGM"
"FCGR2B",7.47596021444219,0.604670297618964,0.0182216998690169,0.0100101026553171,"Middle",FALSE,"None","AGM"
"KLRF2",6.90331288802511,-0.244429252540786,0.00622485803733699,0.00303967093771261,"Middle",FALSE,"None","AGM"
"CLEC4E",8.98158359797991,0.763117943136823,0.0188596784924639,0.0104585489821845,"Middle",FALSE,"None","AGM"
"CD40LG",7.3665880673983,-0.5174185262958,0.0203229282366892,0.0112963808900039,"Middle",FALSE,"None","AGM"
"MS4A1",8.59896277283126,-0.918203248266225,0.0212254698002394,0.011880749979095,"Middle",FALSE,"None","AGM"
"CX3CR1",9.6692266038334,0.982928714777605,0.0209402478547168,0.0116749201954487,"Middle",FALSE,"None","AGM"
"TRAF4",6.93888728500902,-0.285561902591871,0.0103955088393009,0.00534626168878332,"Middle",FALSE,"None","AGM"
"ALOX5",7.21763295178409,-0.458950888183157,0.0158652541176424,0.00861144597778239,"Middle",FALSE,"None","AGM"
"CRADD",6.7715361859114,-0.175998443684357,0.00797768108084651,0.00394739804130197,"Middle",FALSE,"None","AGM"
"LTB4R2",6.74694773764313,-0.179578364296209,0.00880565670107294,0.00442570018612367,"Middle",FALSE,"None","AGM"
"CEACAM6",6.7479696339317,-0.182653684207162,0.0088457286823203,0.00445732821914321,"Middle",FALSE,"None","AGM"
"CD82",7.35024906274547,-0.499011819876192,0.0218802580851362,0.0122756772633492,"Middle",FALSE,"None","AGM"
"ARG1",6.79023622111805,-0.244429252540786,0.00801068817101699,0.00398140902512919,"Middle",FALSE,"None","AGM"
"SELPLG",8.62580244242498,0.64565210992347,0.0240962540647913,0.0136441126912325,"Middle",FALSE,"None","AGM"
"GRB2",8.99598861534023,0.282312141721935,0.0240962540647913,0.0136263585428617,"Middle",FALSE,"None","AGM"
"MAPK14",7.8905337350677,0.493526027518198,0.0256388789628912,0.0145927091193141,"Middle",FALSE,"None","AGM"
"FCER1A",8.61195743513007,1.10878605834792,0.025646216494613,0.0146882876287329,"Middle",TRUE,"Up","AGM"
"GZMA",10.0356296967359,0.967382980795707,0.0256388789628912,0.0146174907333886,"Middle",FALSE,"None","AGM"
"TSLP",6.84316462707559,-0.244429252540786,0.00888173280531749,0.00448700527437468,"Middle",FALSE,"None","AGM"
"CCR8",7.04140266022542,-0.2510956700267,0.00911821148179816,0.00463015673945855,"Middle",FALSE,"None","AGM"
"CCL13",6.7444615500304,-0.176854615277463,0.0111348586139371,0.0057843421371102,"Middle",FALSE,"None","AGM"
"SLAMF7",9.56783627680855,0.696596796692248,0.0279731156772295,0.0161662811381391,"Middle",FALSE,"None","AGM"
"GZMH",12.9388560529989,0.654411253996496,0.0310831153130326,0.0181250893188982,"Middle",FALSE,"None","AGM"
"CCL2",6.99981710284331,-0.187455536086638,0.0107905989734875,0.00557747843045198,"Middle",FALSE,"None","AGM"
"PRKCB",10.01431163978,0.344365067073145,0.0301936993895106,0.0175672432811698,"Middle",FALSE,"None","AGM"
"NOTCH1",6.83704844510781,-0.222069680593536,0.0127125865448977,0.00664034830271562,"Middle",FALSE,"None","AGM"
"RNASEL",7.29028278052209,0.474601035659556,0.025646216494613,0.0146881489744439,"Middle",FALSE,"None","AGM"
"ATG10",7.74039383228684,-0.570875587308585,0.0339173846510629,0.0199980423786786,"Middle",FALSE,"None","AGM"
"KLRF1",9.9473570588765,0.554317072007539,0.0333160752348643,0.0195222488088172,"Middle",FALSE,"None","AGM"
"BATF3",6.78354387456582,-0.210868856876903,0.0158652541176424,0.00857397148135704,"Middle",FALSE,"None","AGM"
"ICAM3",7.08881188968079,0.369361077005834,0.0295964260454595,0.0171813018731434,"Middle",FALSE,"None","AGM"
"PTGDR2",6.73239708269931,-0.161236996561622,0.0127125865448977,0.00665347062025167,"Middle",FALSE,"None","AGM"
"CAMP",8.07162679672136,0.638766666214418,0.0386663591790554,0.0229989513039057,"Middle",FALSE,"None","AGM"
"NFKBIZ",8.09769417846034,0.502179743653641,0.0388148372399779,0.0231376757053894,"Middle",FALSE,"None","AGM"
"TLR7",6.75660258444689,-0.244429252540786,0.0123732806316081,0.00644374744581147,"Middle",FALSE,"None","AGM"
"CFP",9.49276447207166,0.360206553244282,0.037599670265228,0.0222880935808741,"Middle",FALSE,"None","AGM"
"HDAC3",8.11131924476431,-0.414446196759168,0.042189234689833,0.0254779144555485,"Middle",FALSE,"None","AGM"
"BIRC2",8.88734365763444,0.250105926173749,0.0402025392653079,0.0241737346491397,"Middle",FALSE,"None","AGM"
"S1PR1",9.08647840096695,-0.365427798880566,0.040115186234055,0.024069111740433,"Middle",FALSE,"None","AGM"
"TNFSF4",7.10263366571898,-0.304170277573046,0.0237310908065828,0.0133757057273467,"Middle",FALSE,"None","AGM"
"KEAP1",6.78025895790093,-0.195008271326003,0.0147718111049742,0.00788469397940828,"Middle",FALSE,"None","AGM"
"TNFSF13",7.51698965597843,0.529605763516298,0.0433531017003988,0.0262370719381634,"Middle",FALSE,"None","AGM"
"SMAD7",7.09356255109572,-0.483661618285089,0.0399185411506743,0.0238992824291699,"Middle",FALSE,"None","AGM"
"TNFSF18",6.78505156017386,-0.244429252540787,0.0140236669086065,0.007412509651692,"Middle",FALSE,"None","AGM"
"AREG",6.79684789784025,-0.244429252540787,0.0140749079770444,0.00745787331770665,"Middle",FALSE,"None","AGM"
"NOD2",8.46356683798716,0.328433670741154,0.043973475157323,0.0266696271408699,"Middle",FALSE,"None","AGM"
"CCRL1",6.80994082191846,-0.244429252540787,0.0147718111049742,0.00786801532893264,"Middle",FALSE,"None","AGM"
"RIPK1",7.5855210196648,0.363832276678305,0.0463800950827885,0.0282496942776984,"Middle",FALSE,"None","AGM"
"MSR1",6.73935433336163,-0.161236996561622,0.0158652541176424,0.00861256652100586,"Middle",FALSE,"None","AGM"
"ILF3",8.5924534572125,-0.334447826611992,0.0473194434494841,0.0290676581189688,"Middle",FALSE,"None","AGM"
"PMCH",6.89386246672907,-0.244429252540786,0.0154695287336079,0.00829729268438969,"Middle",FALSE,"None","AGM"
"MKNK1",7.60047428517359,0.430487372886733,0.0473759754873776,0.0291639121831389,"Middle",FALSE,"None","AGM"
"IL2RG",9.0559863168749,0.37622554796963,0.0474254390322453,0.0292559526497617,"Middle",FALSE,"None","AGM"
"HMGN1",6.80933468421383,-0.244429252540786,0.0161748584545482,0.00880164375643594,"Middle",FALSE,"None","AGM"
"G6PD",6.84322651145103,-0.337636738732948,0.0179290282005246,0.00977946992755885,"Middle",FALSE,"None","AGM"
"ITGA5",9.05458685543269,-0.457981792814223,0.04876421546994,0.0302084815313784,"Middle",FALSE,"None","AGM"
"HLA-DRA",12.9777722543176,0.372029596031403,0.0550242431063866,0.0343722869274961,"Middle",FALSE,"None","AGM"
"CSF1R",7.44173756285643,0.592399638777097,0.0557681302034051,0.0349094009844692,"Middle",FALSE,"None","AGM"
"AICDA",6.79497792110003,-0.244429252540786,0.0183422495855565,0.010100147823735,"Middle",FALSE,"None","AGM"
"NT5E",6.86660604301473,-0.189666758185047,0.0209402478547168,0.0116939046461405,"Middle",FALSE,"None","AGM"
"BCL2",8.37791977499407,0.390148670254296,0.0636632586150779,0.0402649440851207,"Middle",FALSE,"None","AGM"
"IL18R1",6.9116275920577,-0.182653684207165,0.0232663550702039,0.0130835477212965,"Middle",FALSE,"None","AGM"
"ICAM4",8.37752668178587,-0.920096209898924,0.0647008697214158,0.0410052265247414,"Middle",FALSE,"None","AGM"
"CD3D",11.2253881449083,0.433473977438275,0.0655772901876353,0.041645837534745,"Middle",FALSE,"None","AGM"
"GP1BB",8.15660338263947,-0.505646327012958,0.0717978213384548,0.0465287179842714,"Middle",FALSE,"None","AGM"
"IL11RA",6.93442218484452,-0.404883039613301,0.0493076569243383,0.0306091688439399,"Middle",FALSE,"None","AGM"
"IL16",8.32014175458915,-0.289781519739314,0.0715381008667103,0.0462674990021062,"Middle",FALSE,"None","AGM"
"TBX21",8.938345072717,0.470920787629025,0.0708208267199256,0.0457116245192247,"Middle",FALSE,"None","AGM"
"CCND3",10.0369595903345,0.275074940860625,0.0704850241082166,0.0452202622200766,"Middle",FALSE,"None","AGM"
"LILRB5",6.73358941904813,-0.151153541339064,0.0248925919180276,0.014127354114517,"Middle",FALSE,"None","AGM"
"HIF1A",9.36444298604112,0.344204031072032,0.0737843902661316,0.0479119417312543,"Middle",FALSE,"None","AGM"
"TGFB2",6.80399810162957,-0.20545542537455,0.0333160752348643,0.0195569688391671,"Middle",FALSE,"None","AGM"
"PSMB5",7.59170447676001,0.320654284259778,0.079401060687791,0.0519716033592813,"Middle",FALSE,"None","AGM"
"CCL4",6.75738585439347,-0.174147919462985,0.0292544490198303,0.0169447847569407,"Middle",FALSE,"None","AGM"
"PTPRC",12.6048428539389,0.260299931022413,0.0802115791482061,0.0526062954153819,"Middle",FALSE,"None","AGM"
"CCR2",7.98436891096036,0.380880325710776,0.0838382583911382,0.0550937126570337,"Middle",FALSE,"None","AGM"
"CD79B",7.06000833517929,-0.353323709740121,0.0592979212894203,0.0371959688088182,"Middle",FALSE,"None","AGM"
"RAPGEF2",6.772582409774,-0.244429252540786,0.0261275187080057,0.0149978743752449,"Middle",FALSE,"None","AGM"
"IL1R2",8.57426601391807,-0.839083127737159,0.0879486667055144,0.0581374952637751,"Middle",FALSE,"None","AGM"
"CD1A",6.86513630465307,-0.398000094006755,0.037599670265228,0.0223156484561158,"Middle",FALSE,"None","AGM"
"DEFA1",6.97555784294554,-0.217965346152996,0.027931938277703,0.0161062085653249,"Middle",FALSE,"None","AGM"
"IL1RL2",6.83808195968095,-0.244429252540786,0.0273526419597229,0.0157366498547497,"Middle",FALSE,"None","AGM"
"CMA1",7.74168581443527,0.528296255706297,0.0768336613962825,0.050191339847182,"Middle",FALSE,"None","AGM"
"MAP4K1",8.43393521064538,-0.318038034043804,0.0925823009173306,0.061561218272303,"Middle",FALSE,"None","AGM"
"CXCR4",9.93767793549104,0.38312382154578,0.0880785840956582,0.0583377634919295,"Middle",FALSE,"None","AGM"
"CD44",11.0900645639431,-0.239962028359018,0.090299533539726,0.0599260540763636,"Middle",FALSE,"None","AGM"
"IL18",7.06195357142154,-0.248246804072656,0.0324590220315559,0.0189695583301301,"Middle",FALSE,"None","AGM"
"ATG12",8.52662497543366,0.339477655144686,0.0947311360260063,0.0632361089835938,"Middle",FALSE,"None","AGM"
"CXCL12",6.88675145780438,0.355628359832057,0.0706375195526175,0.0454098339981113,"Middle",FALSE,"None","AGM"
"MYC",7.56123053678547,-0.432376617062531,0.0999749227149071,0.0669961819751845,"Middle",FALSE,"None","AGM"
"CMKLR1",7.2001339602678,0.353508017901923,0.0877939900053226,0.0579212297697453,"Middle",FALSE,"None","AGM"
"NFE2L2",10.0476392020185,0.261781821021879,0.0941349978528509,0.0627159141539123,"Middle",FALSE,"None","AGM"
"TRAF2",6.75381052090664,-0.167903414047539,0.0337214852730762,0.0198387439333812,"Middle",FALSE,"None","AGM"
"C2",6.98140100935196,0.322421706766992,0.0742579967023386,0.0483159173348982,"Middle",FALSE,"None","AGM"
"SMAD3",7.67558830571471,0.26864491828285,0.108561395396344,0.0733141890988297,"Middle",FALSE,"None","AGM"
"CXCR2",8.37448913682083,0.529726539835641,0.107723855949997,0.0726086769325306,"Middle",FALSE,"None","AGM"
"MAP3K5",8.18370111190321,-0.252696759413334,0.113501599978943,0.0775348592063949,"Middle",FALSE,"None","AGM"
"CFH",6.77316721612182,-0.187455536086635,0.0364385757223409,0.0215318856541105,"Middle",FALSE,"None","AGM"
"AKT3",12.1171082875547,-0.375587188073421,0.112035040303525,0.0763875274796759,"Middle",FALSE,"None","AGM"
"CASP3",10.4366597478085,0.284477874709781,0.109176730397727,0.0740171576826126,"Middle",FALSE,"None","AGM"
"ABCB1",6.75137541837262,-0.146803757250678,0.0466149476728557,0.0284863179973106,"Middle",FALSE,"None","AGM"
"SHC1",8.24408303477461,-0.261347018218178,0.122108763138478,0.0842074717227685,"Middle",FALSE,"None","AGM"
"TNFSF8",7.79588199472091,0.411216177296285,0.122949080666297,0.0849466375512598,"Middle",FALSE,"None","AGM"
"BAX",9.78290809903586,0.207730606218645,0.114442024478852,0.078325905065396,"Middle",FALSE,"None","AGM"
"HLA-DMA",8.97261497351588,0.364839919167345,0.116934100403316,0.0801833831337022,"Middle",FALSE,"None","AGM"
"MMP9",9.03585119308365,0.456051470205635,0.119431617917546,0.0820510725693269,"Middle",FALSE,"None","AGM"
"C5aR1",7.46377631486156,0.339423981676902,0.103221788712386,0.0693060581354589,"Middle",FALSE,"None","AGM"
"ZEB1",6.88932757171442,-0.185239391107859,0.0498216683834444,0.0309929599424284,"Middle",FALSE,"None","AGM"
"NFATC4",6.73472261599765,-0.142525542344833,0.0418971259671599,0.0252470992841068,"Middle",FALSE,"None","AGM"
"IL23R",6.75340223732978,-0.244429252540786,0.0399185411506743,0.0238690821577111,"Middle",FALSE,"None","AGM"
"HSPB2",7.58315624284393,-0.430183321437181,0.138279200798863,0.096795440559204,"Middle",FALSE,"None","AGM"
"ARG2",9.19442718049654,0.381856863537264,0.126822957139988,0.0879525443022776,"Middle",FALSE,"None","AGM"
"CR2",6.8046662127989,-0.165768609853501,0.0466149476728557,0.0285138186414481,"Middle",FALSE,"None","AGM"
"PTGFR",6.87609825742568,-0.317937032624744,0.0450673841024955,0.0273916048830752,"Middle",FALSE,"None","AGM"
"JAK1",10.394625048735,-0.16682436231512,0.132610423061175,0.0921384108282189,"Middle",FALSE,"None","AGM"
"C14orf166",10.103733455026,0.200554016655312,0.13325256920897,0.0927576325922183,"Middle",FALSE,"None","AGM"
"TGFBR1",8.78685055294494,-0.262674469218361,0.136555476889831,0.0954114890477002,"Middle",FALSE,"None","AGM"
"EOMES",7.44834966709057,-0.3422941340254,0.14339086466944,0.101118492877281,"Middle",FALSE,"None","AGM"
"HLA-DQA1",8.23167549846504,-0.831866029508479,0.144342620042764,0.101977123770472,"Middle",FALSE,"None","AGM"
"CD81",9.4846409178716,0.296194067954014,0.138509566423099,0.0971365790499652,"Middle",FALSE,"None","AGM"
"TLR1",9.29934655078243,0.360885121117231,0.138999428628722,0.0978411562555423,"Middle",FALSE,"None","AGM"
"SMAD5",6.77457263678545,-0.175998443684357,0.0473194434494841,0.0290216685825904,"Middle",FALSE,"None","AGM"
"RUNX1",8.45343555163435,0.22009429137937,0.15279419458111,0.108408708649569,"Middle",FALSE,"None","AGM"
"LILRB1",7.13253274719542,-0.244429252540786,0.0478000849526569,0.0295491434252788,"Middle",FALSE,"None","AGM"
"MRC1",6.75673050812362,-0.168783650067358,0.0599299530648503,0.0376702562121916,"Middle",FALSE,"None","AGM"
"TRAF3",7.69994664957368,-0.300581693242111,0.169914313850263,0.122029370856098,"Middle",FALSE,"None","AGM"
"NFKB1",8.51553730050491,-0.21009498384865,0.16567798809276,0.118556586284559,"Middle",FALSE,"None","AGM"
"TCF4",7.23688964676993,-0.358342818904645,0.124404776511521,0.0861139556891436,"Middle",FALSE,"None","AGM"
"CD28",7.50771304048388,-0.332961400423594,0.171738725180306,0.123562667207649,"Middle",FALSE,"None","AGM"
"TRADD",8.44189213009524,-0.410047055119923,0.16752469439056,0.120095625069596,"Middle",FALSE,"None","AGM"
"CFD",9.33319820477885,-0.489268807187017,0.16497100676381,0.117731245410608,"Middle",FALSE,"None","AGM"
"IL28A",6.75078433535518,-0.244429252540786,0.0516547103677907,0.0322003389305708,"Middle",FALSE,"None","AGM"
"CCR5",8.3925466833682,0.363648469979788,0.182558631295555,0.131584468011731,"Middle",FALSE,"None","AGM"
"CCL23",6.74903452718595,-0.134417661100626,0.0687624073270291,0.0439364992271407,"Middle",FALSE,"None","AGM"
"CDC42",12.6155871312869,-0.215346226172084,0.1879927129563,0.135745387537276,"Middle",FALSE,"None","AGM"
"CCL7",6.75720059989344,-0.174147919462985,0.0675118007923728,0.0430497327130585,"Middle",FALSE,"None","AGM"
"CARD9",6.76741203386948,-0.143276554833419,0.062989053195468,0.0397567270818149,"Middle",FALSE,"None","AGM"
"CD55",13.1728009675761,-0.346473909396895,0.203419697668505,0.14741323545328,"Middle",FALSE,"None","AGM"
"NOX1",6.78252127464991,-0.18152055445532,0.0620296421782616,0.0390706187746193,"Middle",FALSE,"None","AGM"
"HFE",6.78117675715655,-0.174147919462985,0.0708208267199256,0.0456215310810171,"Middle",FALSE,"None","AGM"
"TNFRSF14",6.77802097389945,-0.137268951614299,0.0700043846934113,0.0448209891608465,"Middle",FALSE,"None","AGM"
"ATG5",8.01476137447252,0.247015425119677,0.214581273710913,0.156337785132236,"Middle",FALSE,"None","AGM"
"LCK",8.96045945947475,0.274672363386363,0.201997466201728,0.14612024503164,"Middle",FALSE,"None","AGM"
"VCAM1",6.89260660624305,-0.189666758185049,0.0675118007923728,0.043036769463049,"Middle",FALSE,"None","AGM"
"TFRC",8.11409684486939,-0.438299256924814,0.22045582030574,0.160904118197176,"Middle",FALSE,"None","AGM"
"TYK2",8.24420994173366,-0.161256083295175,0.213420740045425,0.1552150836694,"Middle",FALSE,"None","AGM"
"PDGFB",7.27470058316562,-0.359822622075841,0.224355337080748,0.164333000147457,"Middle",FALSE,"None","AGM"
"RAC1",9.58790598372716,-0.260402363648064,0.210412424848796,0.152753955182438,"Middle",FALSE,"None","AGM"
"NFKB2",7.06102998467715,-0.235741300719686,0.16497100676381,0.117836433402721,"Middle",FALSE,"None","AGM"
"NFATC1",7.41343226969507,0.237097021360025,0.237257178652256,0.175631937443878,"Middle",FALSE,"None","AGM"
"UBE2L3",10.2750428006604,0.146836482455413,0.222959743735206,0.163021215224573,"Middle",FALSE,"None","AGM"
"TNF",6.74557125049027,-0.138366278205442,0.0768336613962825,0.0501653072819558,"Middle",FALSE,"None","AGM"
"MAPK3",8.57927294308582,0.174124165980063,0.235717241620474,0.174185857768895,"Middle",FALSE,"None","AGM"
"SYK",9.17661800879228,0.25552064939917,0.228658488674632,0.168375796205865,"Middle",FALSE,"None","AGM"
"KLRC2",7.83345235723311,-0.423484020566839,0.251079562412999,0.187677242141807,"Middle",FALSE,"None","AGM"
"HLA-DPA1",9.81937461663352,0.567722705890779,0.232355729042395,0.17140007025465,"Middle",FALSE,"None","AGM"
"PTAFR",7.41889350745979,0.287411792816353,0.238437145856048,0.177124736921636,"Middle",FALSE,"None","AGM"
"IL21R",6.86391192564015,-0.142902988490524,0.0871346920216221,0.0573731024090421,"Middle",FALSE,"None","AGM"
"PTGS1",6.98017569359195,-0.268972181385597,0.159496740316821,0.113511965835868,"Middle",FALSE,"None","AGM"
"SIGIRR",7.37359046265588,-0.246808009589042,0.267133219986973,0.200730263484151,"Middle",FALSE,"None","AGM"
"IKZF1",9.40742463009242,0.196071539057957,0.251079562412999,0.187820555779075,"Middle",FALSE,"None","AGM"
"IKBKAP",8.37211676942799,-0.206297125453634,0.267133219986973,0.200870304379815,"Middle",FALSE,"None","AGM"
"CXCL5",6.78431323634252,-0.205449387684745,0.13340778318029,0.093038934503657,"Middle",FALSE,"None","AGM"
"MAPKAPK2",8.17104329411638,-0.170516581160159,0.286137917521659,0.216275672724163,"Middle",FALSE,"None","AGM"
"LILRA1",7.40599115964476,0.299153352594823,0.286903721924263,0.217227103742656,"Middle",FALSE,"None","AGM"
"RHOA",9.87958073340094,0.142888125057199,0.265682971825169,0.1990897074586,"Middle",FALSE,"None","AGM"
"NFATC3",9.62543146935999,-0.164902089230303,0.271445507322081,0.204817973706661,"Middle",FALSE,"None","AGM"
"MAF",7.54556424690545,0.270110860388443,0.30111989372613,0.228772906272449,"Middle",FALSE,"None","AGM"
"STAT6",7.9335760151464,-0.19724143715851,0.316548377777306,0.242550055699494,"Middle",FALSE,"None","AGM"
"CREB1",8.82542820133661,-0.166786176787133,0.294370813154147,0.22326305828834,"Middle",FALSE,"None","AGM"
"ICOS",8.1260053522217,-0.247427888534419,0.329648532689862,0.254728411623984,"Middle",FALSE,"None","AGM"
"IRGC",6.7740237896146,-0.163514985785738,0.109176730397727,0.0741551038935209,"Middle",FALSE,"None","AGM"
"NLRP3",6.83614409471253,-0.145250896724991,0.0995031971104538,0.066550839625823,"Middle",FALSE,"None","AGM"
"JAK3",7.42272055140454,0.251799177559981,0.248795541902512,0.185465767600055,"Middle",FALSE,"None","AGM"
"CD2",8.44569969091559,0.281131910047863,0.322496609433017,0.248364271939972,"Middle",FALSE,"None","AGM"
"KLRC3",8.34211448469215,-0.351464034321527,0.31172016927216,0.23844568792377,"Middle",FALSE,"None","AGM"
"CEACAM8",10.1952544931976,0.401322868140019,0.309780781947425,0.236157557146933,"Middle",FALSE,"None","AGM"
"PRKCA",6.79041653256536,-0.130827964263759,0.103722716427456,0.0697771001421065,"Middle",FALSE,"None","AGM"
"LILRA5",7.13507609644879,0.203852731314544,0.2275209188264,0.166947167710281,"Middle",FALSE,"None","AGM"
"IL2RB",7.92370689759241,0.273581699400886,0.345805097633464,0.269009420107072,"Middle",FALSE,"None","AGM"
"PTGER4",9.0908027208378,0.258630137081992,0.326094247988448,0.251558419876803,"Middle",FALSE,"None","AGM"
"ABL1",6.79900469041089,-0.265205676941449,0.109176730397727,0.0741518808406509,"Middle",FALSE,"None","AGM"
"CD74",12.7494691395911,0.193557638215042,0.354036360392592,0.276332276098634,"Middle",FALSE,"None","AGM"
"CD247",8.87400371395549,-0.153198275334768,0.333751632586302,0.258332432495372,"Middle",FALSE,"None","AGM"
"LTB4R",6.9441424545777,-0.144620837293141,0.138849190074055,0.097555080298784,"Middle",FALSE,"None","AGM"
"ITLN1",6.88897455279642,0.194435307413137,0.227927704840851,0.16754166355834,"Middle",FALSE,"None","AGM"
"GNLY",9.74918858185216,0.467287785407007,0.372758168695744,0.292881418260942,"Middle",FALSE,"None","AGM"
"C9",7.38677512697213,-0.26409684247638,0.384916334602206,0.305933502307208,"Middle",FALSE,"None","AGM"
"SIRPA",8.47632062637187,0.260343636203393,0.359469931390525,0.281040128178047,"Middle",FALSE,"None","AGM"
"TGFB1",9.87788766534008,0.152899739797288,0.353256567628733,0.275264857892519,"Middle",FALSE,"None","AGM"
"TRAF1",7.30617867368698,-0.297631968838584,0.37421162693667,0.296453366793985,"Middle",FALSE,"None","AGM"
"MS4A2",7.94413494605224,0.285286395726932,0.392803771868498,0.31577342180078,"Middle",FALSE,"None","AGM"
"MAP2K4",10.1494822310321,-0.12738265705778,0.362803446536449,0.284117504235687,"Middle",FALSE,"None","AGM"
"HLA-A",8.77329352344546,0.729766444861145,0.381052304112464,0.302367477678852,"Middle",FALSE,"None","AGM"
"MALT1",9.01910146190056,-0.1402897308819,0.373566625632191,0.294486937349013,"Middle",FALSE,"None","AGM"
"APOE",6.76158092702629,-0.139174432520354,0.15279419458111,0.108543408358269,"Middle",FALSE,"None","AGM"
"HRAS",6.77721037006137,-0.138366278205443,0.121246750632611,0.0834555556302391,"Middle",FALSE,"None","AGM"
"TGFBI",7.71571861269306,0.253258513672629,0.411231783818922,0.332823216720918,"Middle",FALSE,"None","AGM"
"IFNB1",6.94368268872396,-0.190893245791188,0.110132916527002,0.0749475951430505,"Middle",FALSE,"None","AGM"
"HLA-DRB1",11.6395028854199,0.181255838989424,0.392803771868498,0.315698784484085,"Middle",FALSE,"None","AGM"
"CYSLTR1",7.22749714788964,0.223351814727053,0.31172016927216,0.238082114001845,"Middle",FALSE,"None","AGM"
"MAX",11.5473764848205,-0.157602910646782,0.394104501808883,0.317330897560399,"Middle",FALSE,"None","AGM"
"MME",7.9298834404971,-0.250095195831019,0.422370993328611,0.343382132238585,"Middle",FALSE,"None","AGM"
"EGR1",6.9282350693271,-0.335088711996025,0.308350306398961,0.23466659681791,"Middle",FALSE,"None","AGM"
"STAT5B",9.09440263569943,0.148827670427311,0.387007456384598,0.308966590368716,"Middle",FALSE,"None","AGM"
"BCL6",8.3152650289068,0.249885377299691,0.400528837842192,0.323023906883118,"Middle",FALSE,"None","AGM"
"TARP",10.2439372443735,0.255616947193532,0.387007456384598,0.308394744458643,"Middle",FALSE,"None","AGM"
"IRF3",9.61081146592232,0.122789623221632,0.387007456384598,0.309103358021464,"Middle",FALSE,"None","AGM"
"HAVCR2",7.41962437358915,0.209988060732281,0.267626599757066,0.201588867349478,"Middle",FALSE,"None","AGM"
"CD46",9.68589951837068,-0.124749942597736,0.392542225754085,0.314340729507345,"Middle",FALSE,"None","AGM"
"STAT4",8.79884923842279,0.159326174076565,0.402243429510555,0.32492910799424,"Middle",FALSE,"None","AGM"
"CD5",6.93592880796886,-0.185583858729258,0.237445536095475,0.176079741701969,"Middle",FALSE,"None","AGM"
"C4BPA",8.06895923826496,-0.665058739994455,0.457251540830867,0.374708730213347,"Middle",FALSE,"None","AGM"
"MAPKAPK5",7.16119834304087,0.15903243265589,0.370713996854794,0.29079383649389,"Middle",FALSE,"None","AGM"
"CCL5",9.47127376159076,0.196792319714723,0.415251116837465,0.337054477952488,"Middle",FALSE,"None","AGM"
"CLEC4A",8.50114672014122,0.286555048184878,0.446187707940624,0.365062670133238,"Middle",FALSE,"None","AGM"
"FADD",7.17184003884619,-0.156404586982236,0.37421162693667,0.296361175865887,"Middle",FALSE,"None","AGM"
"GZMK",11.2716525913812,-0.305267501462339,0.439116752100691,0.358136779635369,"Middle",FALSE,"None","AGM"
"HLA-DMB",7.18655087877872,0.203053933174618,0.411231783818922,0.33325796506884,"Middle",FALSE,"None","AGM"
"IFNAR1",7.36792738910953,-0.179813665217693,0.481913596943717,0.399299837467651,"Middle",FALSE,"None","AGM"
