"gene","Early.lfc","Early.padj","Late.lfc","Late.padj","Middle.lfc","Middle.padj"
"ABCB1",-0.389840575932584,0.151760265085363,-0.44904626296434,0.105422192548559,-0.525989394729532,0.0619613141842665
"ABCF1",-0.0103580619090646,0.949135332207874,0.20516264340422,0.193384840123006,0.454324804313313,0.00998865785172666
"ABL1",-0.355921581046908,0.15037659182525,-0.454380876998651,0.0547549257006911,-0.32837828396727,0.324435817881946
"ADA",0.50480443267635,0.0399369269283227,0.266805333388524,0.324123902743847,0.246162995334593,0.411822230795585
"AGER",-0.0993559904209258,0.0776650690793888,-0.0568437861157278,0.335242556861107,-0.133483600316112,0.0386932251268007
"AHR",-0.466584126550957,0.0932610088007483,-1.27542529002138,5.02984588600122e-07,-0.914449375857548,0.00518057984819294
"AICDA",-0.0703497592003091,0.717529291149203,-0.354530000597743,0.036246660931402,0.0403699533194093,0.881963706692109
"AIRE",-0.0841692090250001,0.0195046970696011,0.0212562406896888,0.569797418419507,-0.0553835735106958,0.215837243906182
"AKT3",-0.37166242445889,0.0787203544767211,-0.326943131146596,0.147260438978381,-0.530560527481647,0.0411813538613637
"ALAS1",0.216417125757472,0.209700577747824,0.0681075070084063,0.735447592344758,0.138388732591999,0.54467641277902
"ALOX12",-0.070837377374346,0.0399369269283227,0.0345880723403438,0.335242556861107,-0.0420517418600408,0.328974653039403
"ALOX15",-0.070837377374346,0.0399369269283227,0.0345880723403438,0.335242556861107,-0.0420517418600408,0.328974653039403
"ALOX5",0.051913071021759,0.889891555070515,0.848605269015268,0.0124926178001788,-0.581776517340133,0.0876170884863813
"ANP32B",-0.446870163194463,0.0179225921380121,0.481464475534183,0.00726649636816536,-0.188117918453187,0.406527975410597
"APOE",0.0112408404793785,0.85313829362562,0.0360001842525337,0.546519569120759,-0.042051741860039,0.557975942924762
"APP",0.370417824435172,0.0259765438911481,0.703711452435163,1.42700582512112e-05,0.577094736694351,0.00254447817206265
"AREG",-0.0639626111808314,0.369986210090557,0.0283776818336312,0.732212678004427,-0.104457918352894,0.241862063514351
"ARG1",-0.0886555414759842,0.259121219242272,-0.110092118929542,0.141684918286638,-0.186731933129924,0.0206738395211263
"ARG2",0.879498148441822,0.0293373933966683,0.89864753413937,0.0209648606993425,1.03772757169952,0.027955269743258
"ARHGDIB",-0.543147335455766,0.000661141242821088,-0.00138070825652825,0.996263033183868,-0.645894947571641,0.000395346537256444
"ATF2",-0.199715913059469,0.125849655126411,-0.122209874442435,0.37555129128555,-0.169094935309863,0.328974653039403
"ATG10",-0.149875788641833,0.26959997998072,-0.17149752879906,0.254392614183251,-0.118812117554282,0.48701033072885
"ATG12",0.173539087998369,0.148415284193223,0.222893785024915,0.0763746086653579,0.20768293727582,0.181187920860378
"ATG16L1",-0.262739133748455,0.180698985716532,-0.405176246064119,0.0268537181407039,-0.14025779228622,0.600479712263733
"ATG5",0.139696387012792,0.454319322533368,-0.0825612007169916,0.701642043165219,-0.208237807676635,0.378742242689728
"ATG7",-0.111096518896225,0.488261378971989,-0.449972625841657,0.00162450323739046,-0.508463672202255,0.00080061399864179
"ATM",-0.694900420724082,0.00721897658557667,-0.538192529979968,0.0304137573044472,-1.01169698598852,0.00080061399864179
"B2M",0.782526246778165,5.00089526247585e-05,0.565541980099784,0.00162450323739046,0.829455484090435,0.000210674934894806
"B3GAT1",-0.070837377374346,0.0399369269283227,0.0345880723403438,0.335242556861107,-0.0420517418600408,0.328974653039403
"BAD",-0.0761725625858567,0.034731607459889,0.0292528871288349,0.421188072295694,-0.0473869270715497,0.309179491309219
"BATF",0.340700810347395,0.0967942001913906,0.819072287265416,7.12971612875113e-05,0.33356280182181,0.223507204012707
"BATF3",0.948747023359318,2.22575559144395e-05,0.0957904161568797,0.689407783836614,0.803263924933383,0.00165302593287355
"BAX",-0.0654113841492041,0.583714771718305,0.4555665204199,0.000192473142320795,0.378026902206045,0.0116679808632058
"BCAP31",0.0200450150103499,0.897909267886319,0.378523883010816,0.00761476750106328,0.470324013066449,0.00641461406600665
"BCL10",0.207940585571718,0.286633448768752,-0.228852024633353,0.299720397911402,-0.150734858121486,0.557975942924762
"BCL2",-0.430701003175663,0.111725630200524,-0.0767458919332871,0.804157899706395,0.0531573874336271,0.883003874278481
"BCL2L1",-0.036555173130548,0.93901543990659,0.156690075722961,0.758265459174574,-0.518310589905031,0.35484088695136
"BCL2L11",-0.202062645935365,0.222774487728379,0.0960484529068459,0.596869901163638,-0.0878843707506025,0.695010908553124
"BCL3",0.221422980010025,0.276909862345433,0.0410977794556269,0.848380574279153,-0.30564309665272,0.13283368597022
"BCL6",0.575903382523048,0.0600053985348337,0.348431265321196,0.319311674131097,0.616441297065711,0.111098664484415
"BID",0.788479738821444,1.82581620755904e-07,0.57982051745908,3.05377560688749e-05,0.596642584548162,0.000395346537256444
"BIRC2",0.212775109864159,0.153802198509641,0.0741750796500646,0.658253393610845,-0.155777901939773,0.410844073399783
"BLK",-0.097992248737719,0.00630256001311637,0.00869772362048149,0.818555103486045,-0.0692066132234199,0.105487515706436
"BLNK",-0.205977503430739,0.420750133545233,-0.679780665011728,0.00328385723490884,-0.171189677703271,0.61636704112275
"BST2",1.97441205087424,1.03297307723732e-15,1.54705896394049,1.97591769022487e-12,2.10605888172416,5.54064106334981e-14
"BTK",0.576590138176886,0.0044655683487481,0.029003128357699,0.887889503970736,0.428556411370698,0.0788552766882805
"BTLA",-0.669215474078333,0.00364646548415164,-0.95346663684566,1.95705336621316e-05,-0.822423889982259,0.00211637738908401
