"gene","Early.lfc","Early.padj","Late.lfc","Late.padj","Middle.lfc","Middle.padj"
"ABCB1",-0.0458662156063285,0.560876638215788,-0.213163917005795,2.53958915870982e-05,-0.146803757250678,0.0466149476728557
"ABCF1",0.022105199235769,0.91441608176504,-0.0754300183269301,0.602652539351255,0.0872135502116578,0.610917033012639
"ABL1",0.0779192512950155,0.721009973943917,-0.227954800842054,0.114676259543878,-0.265205676941449,0.109176730397727
"ADA",-0.041380566480699,0.674269371108791,0.384568768360773,0.00185958774631949,-0.0322795276893117,0.748268243461554
"AGER",-0.0424226844820339,0.570859284954875,-0.19529767770502,4.82514576512075e-05,-0.244429252540786,1.08814644778392e-05
"AHR",-0.339213012684866,0.220979513692492,-0.173704735722518,0.386746647968284,-0.890436952656213,1.61037327798042e-06
"AICDA",-0.0458662156063268,0.731995651715621,0.0854316932824952,0.520945207302518,-0.244429252540786,0.0183422495855565
"AIRE",-0.0458662156063285,0.532792385521593,-0.213163917005796,5.63498403412996e-06,-0.244429252540786,6.00158843066822e-06
"AKT3",0.0466365921672569,0.874945976856498,-1.37765263824199,3.45442216835827e-09,-0.375587188073421,0.112035040303525
"ALAS1",-0.099014533129032,0.612403923183135,0.811924771029253,3.33539547697888e-07,-0.0162253448791789,0.92817076154761
"ALOX12",-0.0458662156063285,0.532792385521593,-0.213163917005796,5.63498403412996e-06,-0.244429252540786,6.00158843066822e-06
"ALOX15",-0.0657869879167023,0.737795616518543,-0.532217509460772,2.20827622502529e-05,-0.578493310747885,1.50895229595714e-05
"ALOX5",-0.370860117007266,0.172607632093512,0.551682534242667,0.0144763911233837,-0.458950888183157,0.0158652541176424
"ANP32B",-0.184357948686142,0.498194492133576,0.732141442483782,6.64390226480787e-07,-0.0729726440631548,0.665541815334206
"APOE",-0.0458662156063285,0.620355773184469,-0.199488708813061,0.000884992255464242,-0.139174432520354,0.15279419458111
"APP",0.157068111603245,0.532792385521593,0.536187274755724,1.87306930144892e-05,0.536674180181659,0.000161125463276937
